row ID,row m/z,row retention time,Extract.mzXML Peak area,F_5.mzXML Peak area,F_6.mzXML Peak area,F_7.mzXML Peak area,F_8.mzXML Peak area,F_9.mzXML Peak area,F_10.mzXML Peak area,F_11.mzXML Peak area,F_12.mzXML Peak area,F_13.mzXML Peak area,F_14.mzXML Peak area,F_15.mzXML Peak area,F_16.mzXML Peak area,F_17.mzXML Peak area
46,431.164,975,1061846.422,0,0,0,0,0,0,0,0,0,0,0,0,79484640.13
47,432.167,788,3047510.598,0,0,0,0,0,0,0,0,0,0,0,358245.6563,104805905.3
48,432.184,803,11239583.82,0,0,0,0,0,0,0,0,0,0,0,396876201.5,178920689.1
49,435.177,919,373725307.1,0,0,0,0,0,0,0,0,0,0,0,15661392.04,139548532.3
50,439.357,1214,940972.2148,0,713540.7773,2318143.555,107294291.4,4867957.949,0,128000.5625,1222380.844,0,0,0,0,0
51,439.357,1157,4069899.063,0,626038.5371,4970202.656,63778639.38,12983146.42,0,0,4347351.91,0,195498.2617,0,0,50592.95703
52,439.357,1577,5248564.328,0,11467816.82,4833033.223,103311245.5,2385455.742,440741.7617,610404.3281,700212.4473,21645.84766,0,328910.2266,145155.4004,0
53,441.372,1526,522498.1094,26949.76953,8543675.047,2538379.875,132972771.7,1936326,166282.3633,263873.1582,840475.9121,0,0,0,0,33449.97656
54,442.168,776,87703979.75,0,0,0,0,0,0,0,0,0,25747.52539,0,1659005.59,2458888730
55,442.186,1085,112049466,0,0,0,0,0,0,0,0,0,0,0,5383708.648,3250827271
56,443.242,1625,5133163.043,0,0,0,105996495.9,83505177.13,506514.0449,433911.1445,173225.3867,267247.0977,0,61618.92188,134268.6055,0
57,445.18,1199,739224.9258,0,0,0,0,0,0,23801.35156,0,0,0,0,0,61226812.13
58,445.191,1050,0,0,751725.3301,0,0,0,0,0,0,0,0,0,74592758.19,0
59,452.168,1024,62161482.63,0,0,0,0,0,26348.5957,0,0,0,0,0,0,1726947359
60,459.236,1282,22064.64844,0,0,0,0,0,28346.12695,572817.5195,0,0,0,2720816.539,43584956.88,0
61,464.181,847,753724.0195,0,0,0,0,0,0,0,0,0,0,0,0,47483372
62,464.2,1211,177806.1055,0,0,0,0,0,0,0,0,0,0,1906567.914,112283635.1,368063.1113
63,465.37,2044,7853377.996,19453964.86,259906184.4,5468462.906,2059209.602,34983.27734,0,214903.4941,194946.8008,0,0,0,0,0
64,465.37,1966,1644868.539,0,7922657.156,6398325.063,28330368.25,83755.10938,0,0,0,0,0,25281.69531,0,0
